id,name_id,origin_id
1,4,1
2,3,2
3,2,2
4,8,2
5,1,3
6,1,4
7,1,1
8,6,2
9,12,5
10,14,4
11,15,4
12,15,5
13,9,6
14,9,7
15,9,8
16,13,4
17,11,1
18,11,4
19,11,5
20,19,4
21,17,4
22,17,5
23,16,4
24,18,4
25,21,2
26,22,2
27,24,2
28,27,2
29,29,2
30,23,2
31,30,9
32,28,2
33,26,2
34,37,2
35,34,2
36,33,2
37,33,10
38,35,11
39,36,2
40,38,12
41,39,13
42,41,9
43,43,10
44,42,9
45,48,14
46,48,9
47,51,15
48,44,16
49,53,2
50,50,2
51,47,9
52,47,2
53,47,17
54,58,2
55,56,4
56,54,16
57,59,18
58,62,3
59,67,19
60,67,9
61,66,1
62,66,4
63,66,20
64,68,2
65,68,4
66,70,2
67,72,14
68,73,9
69,73,2
70,71,2
71,71,21
72,71,22
73,75,4
74,75,1
75,75,3
76,74,2
77,69,23
78,77,4
79,77,24
80,77,25
81,78,4
82,79,4
83,83,18
84,83,4
85,83,26
86,82,26
87,84,1
88,84,4
89,84,25
90,81,4
91,81,5
92,85,27
93,88,2
94,86,4
95,89,14
96,92,4
97,93,4
98,93,3
99,94,4
100,94,28
101,94,5
102,90,2
103,91,2
104,99,2
105,96,29
106,96,30
107,101,4
108,98,29
109,102,31
110,102,31
111,104,4
112,104,1
113,103,4
114,103,1
115,105,4
116,108,2
117,108,32
118,108,4
119,106,32
120,106,33
121,106,16
122,97,34
123,107,4
124,110,4
125,111,4
126,115,26
127,115,4
128,115,1
129,114,4
130,114,1
131,121,1
132,118,4
133,120,4
134,122,4
135,122,1
136,122,3
137,117,26
138,124,35
139,124,4
140,124,5
141,127,4
142,127,5
143,127,1
144,125,26
145,125,3
146,125,4
147,126,4
148,126,26
149,126,35
150,129,4
151,133,36
152,132,2
153,135,4
154,130,4
155,130,26
156,136,4
157,138,4
158,138,1
159,138,26
160,131,4
161,139,26
162,141,26
163,137,4
164,137,37
165,137,5
166,144,4
167,142,26
168,149,4
169,149,1
170,147,4
171,147,26
172,147,1
173,146,4
174,146,3
175,146,1
176,148,4
177,151,4
178,152,4
179,152,26
180,152,35
181,153,4
182,155,31
183,154,4
184,154,1
185,154,35
186,156,4
187,156,26
188,158,4
189,145,4
190,159,4
191,163,4
192,161,4
193,157,26
194,162,36
195,165,4
196,164,4
197,168,4
198,168,3
199,167,4
200,167,25
201,166,4
202,170,4
203,170,3
204,170,1
205,174,4
206,173,4
207,173,3
208,169,4
209,179,35
210,176,1
211,176,4
212,177,4
213,180,4
214,180,3
215,181,4
216,183,4
217,185,4
218,185,5
219,185,38
220,188,4
221,175,4
222,175,5
223,175,35
224,186,2
225,186,9
226,182,4
227,182,25
228,182,1
229,192,4
230,189,16
231,189,33
232,189,8
233,193,11
234,198,2
235,187,2
236,187,4
237,187,4
238,197,2
239,197,10
240,199,2
241,200,4
242,202,4
243,191,4
244,191,3
245,201,29
246,201,9
247,201,16
248,204,2
249,204,4
250,206,4
251,206,1
252,203,4
253,203,9
254,203,2
255,207,4
256,207,26
257,207,3
258,209,21
259,209,4
260,205,4
261,210,4
262,210,1
263,210,9
264,208,4
265,214,4
266,211,4
