id,name_id,similar_name_id
1,3,197
2,14,11
3,17,11
4,17,14
5,21,36
6,21,24
7,21,23
8,27,24
9,27,23
10,27,24
11,27,23
12,27,23
13,23,11
14,23,24
15,28,22
16,28,3
17,28,29
18,26,22
19,26,27
20,35,22
21,35,22
22,35,22
23,35,26
24,77,79
25,79,173
26,81,104
27,89,69
28,93,103
29,90,197
30,98,201
31,109,197
32,115,114
33,115,114
34,115,115
35,114,161
36,121,173
37,124,161
38,124,138
39,124,139
40,129,185
41,129,168
42,144,173
43,144,158
44,144,166
45,144,169
46,164,118
47,164,168
48,164,153
49,164,149
50,168,185
51,168,168
52,167,185
53,166,169
54,166,161
55,166,153
56,166,138
57,173,185
58,180,136
59,181,173
60,181,185
61,183,169
62,183,138
63,183,173
64,175,185
65,182,176
66,200,185
67,202,185
68,191,185
69,204,203
70,207,206
71,210,199
72,211,185
